SISRecID_BLVr9,HBWv8.1_Binomial,Order,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22694799,Anous_minutus,CHARADRIIFORMES,63,Day et al. 1984/Harrison et al. 1983,Black Noddy,Hawaii,19.896766,-155.582782,Mixed,1978-1981,1979,1981,3,494,22.22611077,0,-7.265129978,No,1980
22694799,Anous_minutus,CHARADRIIFORMES,64,Sileo et al. 1990a,Black Noddy,Tern Island,23.868823,-166.285503,Nest-bound,1987,1987,1987,1,35,5.916079783,0.03,-3.453754806,Yes,1987
22698557,Hydrobates_melania,PROCELLARIIFORMES,65,Ainley et al. 1990b,Black Storm-petrel,Eastern equatorial Pacific,-126.5858,-5.934,Subadult/Adult,1984-1988,1984,1988,5,2,1.414213562,0,-7.265129978,No,1986
22694787,Chlidonias_niger,CHARADRIIFORMES,66,Spear et al. 1995,Black Tern,tropical Pacific,-8.783195,-124.508523,Subadult/Adult,1984-1991,1984,1991,8,2,1.414213562,0,-7.265129978,No,1988
22698459,Fregetta_tropica,PROCELLARIIFORMES,67,Ainley et al. 1990a,Black-bellied Storm-petrel,Scotia Sea,-57.534867,-43.486725,Subadult/Adult,1976-1988,1983,1988,6,6,2.449489743,0,-7.265129978,No,1986
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,68,Barbieri 2009,Black-browed Albatross,"Brazil, Sao Paulo",-14.235004,-51.92528,Adult,2000-2002,2000,2002,3,26,5.099019514,0.7307,0.996538547,Yes,2001
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,69,Colabuono & Vooren 2007,Black-browed Albatross,Rio Grande do Sul,-31.807168,-51.618266,Subadult/Adult,2004,2004,2004,1,45,6.708203932,0.14,-1.811116048,Yes,2004
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,70,Colabuono et al. 2009,Black-browed Albatross,Brazil,-14.235004,-51.92528,Subadult/Adult,1994-2005,1994,2005,12,59,7.681145748,0.12,-1.987408918,Yes,2000
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,71,Colabuono et al. 2010,Black-browed Albatross,Brazil,-14.235004,-51.92528,Subadult/Adult,1991,1991,1991,1,31,5.567764363,0.06,-2.740680581,Yes,1991
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,72,Jiminez et al. 2015,Black-browed Albatross,SW Atlantic Ocean,-14.599413,-28.673147,Subadult/Adult,2005-2013,2005,2013,9,32,5.656854249,0.031,-3.420670064,Yes,2009
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,73,Petry et al. 2007,Black-browed Albatross,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,Subadult/Adult,1997-1998,1997,1998,2,35,5.916079783,0.2,-1.383675089,Yes,1998
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,74,Ryan 1987,Black-browed Albatross,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,18,4.242640687,0.111111111,-2.073948495,Yes,1982
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,75,Ryan et al. 2016,Black-browed Albatross,South Africa,-38.442178,20.988808,Subadult/Adult,2005-2015,2005,2015,11,157,12.52996409,0,-7.265129978,No,2010
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,76,Tavares et al. 2017,Black-browed Albatross,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,Subadult,2012,2012,2012,1,5,2.236067977,0.8,1.383675089,Yes,2012
22698375,Thalassarche_melanophris,PROCELLARIIFORMES,77,Tourinho et al. 2010,Black-browed Albatross,Rio Grande do Sul,-31.807168,-51.618266,Adult,2007,2007,2007,1,2,1.414213562,1,7.265129978,Yes,2007
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,78,Blight and Burger 1997,Black-footed Albatross,North Pacific,45.522224,-122.679826,Adult,1987,1987,1987,1,3,1.732050808,1,7.265129978,Yes,1987
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,79,Conant 1984,Black-footed Albatross,Hawaii,19.896766,-155.582782,Nest-bound,1981,1981,1981,1,1,1,1,7.265129978,Yes,1981
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,80,Gray et al. 2012,Black-footed Albatross,North Pacific,45.522224,-122.679826,Adult,2006-2008,2006,2008,3,29,5.385164807,0.517,0.067931044,Yes,2007
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,81,Kinan and Cousins 2000,Black-footed Albatross,Kure Atoll,28.392533,-178.293552,Adult,1999,1999,1999,1,NA,NA,1,7.265129978,Yes,1999
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,82,Ogi et al. 1994,Black-footed Albatross,Japan,36.204824,138.252924,Nest-bound,1992,1992,1992,1,1,1,1,7.265129978,Yes,1992
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,83,Robards 1993,Black-footed Albatross,North Pacific,33,-130,Adult,1990-1991,1990,1991,2,110,10.48808848,0.45,-0.200388267,Yes,1991
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,84,Sileo et al. 1990a,Black-footed Albatross,Laysan Island,25.767853,-171.732206,Nest-bound,1987,1987,1987,1,36,6,0.92,2.434395675,Yes,1987
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,85,Sileo et al. 1990a,Black-footed Albatross,Nihoa Island,23.060366,-161.922026,Nest-bound,1987,1987,1987,1,21,4.582575695,0.86,1.811116048,Yes,1987
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,86,Sileo et al. 1990a,Black-footed Albatross,Pearl and Hermes Atoll,27.760667,-175.94082,Nest-bound,1987,1987,1987,1,35,5.916079783,0.97,3.453754806,Yes,1987
22698350,Phoebastria_nigripes,PROCELLARIIFORMES,87,Sileo et al. 1990a,Black-footed Albatross,Tern Island,23.868823,-166.285503,Nest-bound,1987,1987,1987,1,35,5.916079783,0.89,2.085183831,Yes,1987
22694420,Larus_ridibundus,CHARADRIIFORMES,88,Acampora et al. 2016,Black-headed Gull,Ireland,"52.430796,",-6.276479,Subadult/Adult,2014-2016,2014,2016,3,9,3,0.22,-1.26338664,Yes,2015
22694420,Larus_ridibundus,CHARADRIIFORMES,89,Hong et al. 2013,Black-headed Gull,Korea,35.907757,127.766922,Adult,2010-2012,2010,2012,3,1,1,1,7.265129978,Yes,2011
22694497,Rissa_tridactyla,CHARADRIIFORMES,90,Acampora et al. 2016,Black-legged Kittiwake,Ireland,"52.430796,",-6.276479,Subadult/Adult,2014-2016,2014,2016,3,4,2,0.5,0,Yes,2015
22694497,Rissa_tridactyla,CHARADRIIFORMES,91,Baltz and Morejohn 1976,Black-legged Kittiwake,"Monterey Bay, CA",36.800741,-121.947311,Mixed,1974-1975,1974,1975,2,8,2.828427125,NA,NA,Yes,1975
22694497,Rissa_tridactyla,CHARADRIIFORMES,92,Baltz and Morejohn 1976,Black-legged Kittiwake,"Monterey Bay, CA",36.800741,-121.947311,Mixed,1974-1975,1974,1975,2,NA,NA,0.013,-4.277983175,Yes,1975
22694497,Rissa_tridactyla,CHARADRIIFORMES,93,Codina-Garcia et al. 2013,Black-legged Kittiwake,"Catalan coast, Spain",43.311099,-4.252477,Adult,2003-2010,2003,2010,8,4,2,0.5,0,Yes,2007
22694497,Rissa_tridactyla,CHARADRIIFORMES,94,Day et al. 1984,Black-legged Kittiwake,Canadian Arctic,75,-90,Mixed,1978-1979,1978,1979,2,50,7.071067812,0.12,-1.987408918,Yes,1979
22694497,Rissa_tridactyla,CHARADRIIFORMES,95,Day et al. 1984/Bourne 1976,Black-legged Kittiwake,Scotland,56.490671,-4.202646,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,Yes,#NUM!
22694497,Rissa_tridactyla,CHARADRIIFORMES,96,Day et al. 1984/Day 1980,Black-legged Kittiwake,Alaska,64.200841,-149.493673,Mixed,1969-1977,1969,1977,9,188,13.7113092,0.05,-2.931272645,Yes,1973
22694497,Rissa_tridactyla,CHARADRIIFORMES,97,Lydersen et al. 1989,Black-legged Kittiwake,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,20,4.472135955,0.05,-2.931272645,Yes,1984
22694497,Rissa_tridactyla,CHARADRIIFORMES,98,Poon et al. 2017,Black-legged Kittiwake,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Adult,2013,2013,2013,1,11,3.31662479,0.09,-2.306656177,Yes,2013
22694497,Rissa_tridactyla,CHARADRIIFORMES,99,Robards 1993,Black-legged Kittiwake,North Pacific,33,-130,Subadult/Adult,1990-1991,1990,1991,2,5,2.236067977,0,-7.265129978,No,1991
22694497,Rissa_tridactyla,CHARADRIIFORMES,100,Robards et al. 1995,Black-legged Kittiwake,Alaska,52.999639,-166.912109,Subadult/Adult,1988-1990,1988,1990,3,256,16,0.078,-2.461660999,Yes,1989
22694289,Larus_crassirostris,CHARADRIIFORMES,101,Hong et al. 2013,Black-tailed Gull,Korea,35.907757,127.766922,Adult,2010-2012,2010,2012,3,19,4.358898944,1,7.265129978,Yes,2011
22697954,Pterodroma_nigripennis,PROCELLARIIFORMES,102,Ainley et al. 1990b,Black-winged Petrel,Eastern equatorial Pacific,-126.5858,-5.934,Subadult/Adult,1984-1988,1984,1988,5,37,6.08276253,0.027027027,-3.558667849,Yes,1986
