Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Little Shearwater,Puffinus assimilis,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Audubon's Shearwater,Puffinus lherminieri,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Heinroth's Shearwater,Puffinus heinrothi,Puffinus,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fiji Petrel,Pseudobulweria macgillivrayi,Pseudobulweria,CR,Thalassidroma macgillivrayi
PROCELLARIIFORMES,Procellariidae,NA,NA,Mascarene Petrel,Pseudobulweria aterrima,Pseudobulweria,CR,Procellaria aterrima
PROCELLARIIFORMES,Procellariidae,NA,NA,Beck's Petrel,Pseudobulweria becki,Pseudobulweria,CR,Procellaria becki
PROCELLARIIFORMES,Procellariidae,NA,NA,Tahiti Petrel,Pseudobulweria rostrata,Pseudobulweria,NT,Pterodroma rostrata
PROCELLARIIFORMES,Procellariidae,NA,NA,Bulwer's Petrel,Bulweria bulwerii,Bulweria,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Jouanin's Petrel,Bulweria fallax,Bulweria,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Small Saint Helena Petrel,Bulweria bifax,Bulweria,EX,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Whenua Hou Diving-petrel,Pelecanoides whenuahouensis,Pelecanoides,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Peruvian Diving-petrel,Pelecanoides garnotii,Pelecanoides,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Magellanic Diving-petrel,Pelecanoides magellani,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,South Georgia Diving-petrel,Pelecanoides georgicus,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Common Diving-petrel,Pelecanoides urinatrix,Pelecanoides,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Dalmatian Pelican,Pelecanus crispus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Spot-billed Pelican,Pelecanus philippensis,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Pink-backed Pelican,Pelecanus rufescens,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Australian Pelican,Pelecanus conspicillatus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Great White Pelican,Pelecanus onocrotalus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Brown Pelican,Pelecanus occidentalis,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Peruvian Pelican,Pelecanus thagus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,American White Pelican,Pelecanus erythrorhynchos,Pelecanus,LC,NA
SULIFORMES,Fregatidae,NA,NA,Lesser Frigatebird,Fregata ariel,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Great Frigatebird,Fregata minor,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Christmas Island Frigatebird,Fregata andrewsi,Fregata,VU,NA
