Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chinese Crested Tern,Thalasseus bernsteini,Thalasseus
Phaethontiformes,Phaethontidae (Tropicbirds),White-tailed Tropicbird,Phaethon lepturus,Phaethon
Phaethontiformes,Phaethontidae (Tropicbirds),Red-billed Tropicbird,Phaethon aethereus,Phaethon
Phaethontiformes,Phaethontidae (Tropicbirds),Red-tailed Tropicbird,Phaethon rubricauda,Phaethon
Gaviiformes,Gaviidae (Loons),Red-throated Loon,Gavia stellata,Gavia
Gaviiformes,Gaviidae (Loons),Arctic Loon,Gavia arctica,Gavia
Gaviiformes,Gaviidae (Loons),Pacific Loon,Gavia pacifica,Gavia
Gaviiformes,Gaviidae (Loons),Common Loon,Gavia immer,Gavia
Gaviiformes,Gaviidae (Loons),Yellow-billed Loon,Gavia adamsii,Gavia
Sphenisciformes,Spheniscidae (Penguins),King Penguin,Aptenodytes patagonicus,Aptenodytes
Sphenisciformes,Spheniscidae (Penguins),Emperor Penguin,Aptenodytes forsteri,Aptenodytes
Sphenisciformes,Spheniscidae (Penguins),Adelie Penguin,Pygoscelis adeliae,Pygoscelis
Sphenisciformes,Spheniscidae (Penguins),Gentoo Penguin,Pygoscelis papua,Pygoscelis
Sphenisciformes,Spheniscidae (Penguins),Chinstrap Penguin,Pygoscelis antarcticus,Pygoscelis
Sphenisciformes,Spheniscidae (Penguins),Yellow-eyed Penguin,Megadyptes antipodes,Megadyptes
Sphenisciformes,Spheniscidae (Penguins),Little Penguin,Eudyptula minor,Eudyptula
Sphenisciformes,Spheniscidae (Penguins),African Penguin,Spheniscus demersus,Spheniscus
Sphenisciformes,Spheniscidae (Penguins),Humboldt Penguin,Spheniscus humboldti,Spheniscus
Sphenisciformes,Spheniscidae (Penguins),Galapagos Penguin,Spheniscus mendiculus,Spheniscus
Sphenisciformes,Spheniscidae (Penguins),Magellanic Penguin,Spheniscus magellanicus,Spheniscus
Sphenisciformes,Spheniscidae (Penguins),Fiordland Penguin,Eudyptes pachyrhynchus,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Erect-crested Penguin,Eudyptes sclateri,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Macaroni Penguin,Eudyptes chrysolophus,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Royal Penguin,Eudyptes schlegeli,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Southern Rockhopper Penguin,Eudyptes chrysocome,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Moseley's Rockhopper Penguin,Eudyptes moseleyi,Eudyptes
Sphenisciformes,Spheniscidae (Penguins),Snares Penguin,Eudyptes robustus,Eudyptes
Procellariiformes,Diomedeidae (Albatrosses),Northern Royal Albatross,Diomedea sanfordi,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Southern Royal Albatross,Diomedea epomophora,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Snowy Albatross,Diomedea exulans,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Tristan Albatross,Diomedea dabbenena,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Antipodean Albatross,Diomedea antipodensis,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Amsterdam Albatross,Diomedea amsterdamensis,Diomedea
Procellariiformes,Diomedeidae (Albatrosses),Waved Albatross,Phoebastria irrorata,Phoebastria
Procellariiformes,Diomedeidae (Albatrosses),Laysan Albatross,Phoebastria immutabilis,Phoebastria
Procellariiformes,Diomedeidae (Albatrosses),Black-footed Albatross,Phoebastria nigripes,Phoebastria
Procellariiformes,Diomedeidae (Albatrosses),Short-tailed Albatross,Phoebastria albatrus,Phoebastria
Procellariiformes,Diomedeidae (Albatrosses),Sooty Albatross,Phoebetria fusca,Phoebetria
Procellariiformes,Diomedeidae (Albatrosses),Light-mantled Albatross,Phoebetria palpebrata,Phoebetria
Procellariiformes,Diomedeidae (Albatrosses),Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Indian Yellow-nosed Albatross,Thalassarche carteri,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Gray-headed Albatross,Thalassarche chrysostoma,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Buller's Albatross,Thalassarche bulleri,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),White-capped Albatross,Thalassarche cauta,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Salvin's Albatross,Thalassarche salvini,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Chatham Albatross,Thalassarche eremita,Thalassarche
Procellariiformes,Diomedeidae (Albatrosses),Black-browed Albatross,Thalassarche melanophris,Thalassarche
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Wilson's Storm-Petrel,Oceanites oceanicus,Oceanites
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Pincoya Storm-Petrel,Oceanites pincoyae,Oceanites
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Elliot's Storm-Petrel,Oceanites gracilis,Oceanites
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Gray-backed Storm-Petrel,Garrodia nereis,Garrodia
Procellariiformes,Oceanitidae (Southern Storm-Petrels),White-faced Storm-Petrel,Pelagodroma marina,Pelagodroma
Procellariiformes,Oceanitidae (Southern Storm-Petrels),White-bellied Storm-Petrel,Fregetta grallaria,Fregetta
Procellariiformes,Oceanitidae (Southern Storm-Petrels),New Zealand Storm-Petrel,Fregetta maoriana,Fregetta
Procellariiformes,Oceanitidae (Southern Storm-Petrels),New Caledonian Storm-Petrel,Fregetta lineata,Fregetta
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Black-bellied Storm-Petrel,Fregetta tropica,Fregetta
Procellariiformes,Oceanitidae (Southern Storm-Petrels),Polynesian Storm-Petrel,Nesofregetta fuliginosa,Nesofregetta
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),European Storm-Petrel,Hydrobates pelagicus,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Fork-tailed Storm-Petrel,Hydrobates furcatus,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ringed Storm-Petrel,Hydrobates hornbyi,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Leach's Storm-Petrel,Hydrobates leucorhous,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Townsend's Storm-Petrel,Hydrobates socorroensis,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ainley's Storm-Petrel,Hydrobates cheimomnestes,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Swinhoe's Storm-Petrel,Hydrobates monorhis,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ashy Storm-Petrel,Hydrobates homochroa,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Band-rumped Storm-Petrel,Hydrobates castro,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Monteiro's Storm-Petrel,Hydrobates monteiroi,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Cape Verde Storm-Petrel,Hydrobates jabejabe,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Wedge-rumped Storm-Petrel,Hydrobates tethys,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Black Storm-Petrel,Hydrobates melania,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Markham's Storm-Petrel,Hydrobates markhami,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Matsudaira's Storm-Petrel,Hydrobates matsudairae,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Tristram's Storm-Petrel,Hydrobates tristrami,Hydrobates
Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Least Storm-Petrel,Hydrobates microsoma,Hydrobates
Procellariiformes,Procellariidae (Shearwaters and Petrels),Southern Giant-Petrel,Macronectes giganteus,Macronectes
Procellariiformes,Procellariidae (Shearwaters and Petrels),Northern Giant-Petrel,Macronectes halli,Macronectes
Procellariiformes,Procellariidae (Shearwaters and Petrels),Northern Fulmar,Fulmarus glacialis,Fulmarus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Southern Fulmar,Fulmarus glacialoides,Fulmarus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Antarctic Petrel,Thalassoica antarctica,Thalassoica
Procellariiformes,Procellariidae (Shearwaters and Petrels),Pintado Petrel,Daption capense,Daption
Procellariiformes,Procellariidae (Shearwaters and Petrels),Snow Petrel,Pagodroma nivea,Pagodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Kerguelen Petrel,Aphrodroma brevirostris,Aphrodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Great-winged Petrel,Pterodroma macroptera,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Gray-faced Petrel,Pterodroma gouldi,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Kermadec Petrel,Pterodroma neglecta,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Magenta Petrel,Pterodroma magentae,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Trindade Petrel,Pterodroma arminjoniana,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Herald Petrel,Pterodroma heraldica,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Murphy's Petrel,Pterodroma ultima,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Providence Petrel,Pterodroma solandri,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Henderson Petrel,Pterodroma atrata,Pterodroma
