HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Providence Petrel,Pterodroma_solandri,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Kermadec Petrel,Pterodroma_neglecta,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Trindade Petrel,Pterodroma_arminjoniana,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Herald Petrel,Pterodroma_heraldica,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Henderson Petrel,Pterodroma_atrata,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Phoenix Petrel,Pterodroma_alba,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Barau's Petrel,Pterodroma_baraui,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Mottled Petrel,Pterodroma_inexpectata,Pterodroma,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Hawaiian Petrel,Pterodroma_sandwichensis,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Galapagos Petrel,Pterodroma_phaeopygia,Pterodroma,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-necked Petrel,Pterodroma_cervicalis,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Juan Fernandez Petrel,Pterodroma_externa,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Soft-plumaged Petrel,Pterodroma_mollis,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bermuda Petrel,Pterodroma_cahow,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-capped Petrel,Pterodroma_hasitata,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Jamaican Petrel,Pterodroma_caribbaea,Pterodroma,CR (PE),NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Verde Petrel,Pterodroma_feae,Pterodroma,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Zino's Petrel,Pterodroma_madeira,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Magenta Petrel,Pterodroma_magentae,Pterodroma,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Atlantic Petrel,Pterodroma_incerta,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-headed Petrel,Pterodroma_lessonii,Pterodroma,LC,Pterodroma lessoni
PROCELLARIIFORMES,Procellariidae,NA,NA,Great-winged Petrel,Pterodroma_macroptera,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Grey-faced Petrel,Pterodroma_gouldi,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Grey Petrel,Procellaria_cinerea,Procellaria,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-chinned Petrel,Procellaria_aequinoctialis,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Spectacled Petrel,Procellaria_conspicillata,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Westland Petrel,Procellaria_westlandica,Procellaria,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black Petrel,Procellaria_parkinsoni,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Wedge-tailed Shearwater,Ardenna_pacifica,Ardenna,LC,Ardenna pacifica; Puffinus pacificus
PROCELLARIIFORMES,Procellariidae,NA,NA,Buller's Shearwater,Ardenna_bulleri,Ardenna,VU,Puffinus bulleri
PROCELLARIIFORMES,Procellariidae,NA,NA,Short-tailed Shearwater,Ardenna_tenuirostris,Ardenna,LC,Ardenna tenuirostris; Puffinus tenuirostris
PROCELLARIIFORMES,Procellariidae,NA,NA,Sooty Shearwater,Ardenna_grisea,Ardenna,NT,Ardenna grisea; Puffinus griseus
PROCELLARIIFORMES,Procellariidae,NA,NA,Great Shearwater,Ardenna_gravis,Ardenna,LC,Ardenna gravis; Puffinus gravis
PROCELLARIIFORMES,Procellariidae,NA,NA,Flesh-footed Shearwater,Ardenna_carneipes,Ardenna,NT,Ardenna carneipes; Puffinus carneipes
PROCELLARIIFORMES,Procellariidae,NA,NA,Pink-footed Shearwater,Ardenna_creatopus,Ardenna,VU,Puffinus creatopus
PROCELLARIIFORMES,Procellariidae,NA,NA,Streaked Shearwater,Calonectris_leucomelas,Calonectris,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Scopoli's Shearwater,Calonectris_diomedea,Calonectris,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Verde Shearwater,Calonectris_edwardsii,Calonectris,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Christmas Shearwater,Puffinus_nativitatis,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Galapagos Shearwater,Puffinus_subalaris,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fluttering Shearwater,Puffinus_gavia,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Hutton's Shearwater,Puffinus_huttoni,Puffinus,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-vented Shearwater,Puffinus_opisthomelas,Puffinus,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bryan's Shearwater,Puffinus_bryani,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Rapa Shearwater,Puffinus_myrtae,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Newell's Shearwater,Puffinus_newelli,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Townsend's Shearwater,Puffinus_auricularis,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Tropical Shearwater,Puffinus_bailloni,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Persian Shearwater,Puffinus_persicus,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bannerman's Shearwater,Puffinus_bannermani,Puffinus,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Manx Shearwater,Puffinus_puffinus,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Yelkouan Shearwater,Puffinus_yelkouan,Puffinus,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Balearic Shearwater,Puffinus_mauretanicus,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Subantarctic Shearwater,Puffinus_elegans,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Little Shearwater,Puffinus_assimilis,Puffinus,LC,NA
